id,parent_interest_id,member,party,mnis_id,twfy_id,category,category_code,summary
1493,,Yasmin Qureshi,labour,3924,24775,Miscellaneous,8,Member of Bolton Town Board. This is an unpaid role.
1494,,Yasmin Qureshi,labour,3924,24775,Miscellaneous,8,I was appointed as a member of the Board of the Westminster Foundation for Democracy for a three-year term. This is an unpaid role.
1504,,Bell Ribeiro-Addy,labour,4764,25856,Miscellaneous,8,"Company Secretary of the Diane Abbott Foundation, which works to excel and improve education. This is an unpaid role."
1508,,Gavin Robinson,dup,4360,25280,Miscellaneous,8,"Chair of EastSide Tourism Ltd, which promotes East Belfast as a tourist destination. This is an unpaid role."
1509,,Gavin Robinson,dup,4360,25280,Miscellaneous,8,"Director of EastSide Partnership, which is a broad-based social partnership with community, statutory, political and business members who are dedicated to the regeneration of East Belfast. This is an unpaid role."
1512,,Andrew Rosindell,reform,1447,11199,Miscellaneous,8,Director of the Commonwealth Parliamentary Association UK. This is an unpaid role.
1531,,Jerome Mayhew,conservative,4739,25904,Miscellaneous,8,"Director of Walsingham Estate Company Ltd (farming, land and property management, retail and finance). I have not received any payment for this role. It will continue to be unpaid until further notice."
1532,,Jerome Mayhew,conservative,4739,25904,Miscellaneous,8,My shareholding in Adventure Forest Group Ltd (adventure leisure) was transferred into an employee ownership trust on 21 October 2021. As part of this agreement a value for my shareholding is scheduled to be repaid to me periodically over the next 10 years.
1535,,Andy McDonald,labour,4269,25169,Miscellaneous,8,Solicitor (not currently employed as such).
1537,,Pat McFadden,labour,1587,11936,Miscellaneous,8,Member of Wolverhampton Towns Fund Board. This is an unpaid role.
1539,,Catherine McKinnell,labour,4125,24818,Miscellaneous,8,Solicitor (currently non-practising).
1540,,Catherine McKinnell,labour,4125,24818,Miscellaneous,8,A Trustee and Vice Chair of the Board of the Industry and Parliament Trust. This is an unpaid role.
1547,,Esther McVey,conservative,4084,24882,Miscellaneous,8,"Trustee (Unpaid) of ""If Chloe Can""; charity providing careers advice and support for young people."
1548,,Esther McVey,conservative,4084,24882,Miscellaneous,8,"Unpaid Director of Blue Collar Productions, a television production company of Miryfields Cottage, 5/7 Cann Street, Tottington BL8 3PE."
1568,,Navendu Mishra,labour,4811,25836,Miscellaneous,8,I am a member of the Unite North West Black Asian & Ethnic Minorities Committee.
1572,,Layla Moran,liberal-democrat,4656,25689,Miscellaneous,8,"Member of the International Centre of Justice for Palestinians (ICJP)’s Advisory Board. The ICJP’s principal objective is to coordinate and support legal work which supports the rights of Palestinians in Israel, the Occupied Palestinian Territories and the wider diaspora. This is an unpaid role."
1578,,Helen Morgan,liberal-democrat,4934,26056,Miscellaneous,8,A Vice President of the Local Government Association. This is an unpaid role.
1579,,Grahame Morris,labour,3973,24715,Miscellaneous,8,Trustee (unpaid) of the East Durham Veterans Trust.
1581,,Wendy Morton,conservative,4358,25342,Miscellaneous,8,Vice-President of the Lotteries Council. This is an unpaid role.
1583,,Dr Kieran Mullan,conservative,4860,25883,Miscellaneous,8,"Trustee of ValueYou, a volunteer recognition scheme."
1588,,Ian Murray,labour,3966,24872,Miscellaneous,8,Director of 100MPH Events Limited (dormant). This is an unpaid role.
1590,,Ian Murray,labour,3966,24872,Miscellaneous,8,Director of the Commonwealth Parliamentary Association (United Kingdom).
1592,,Ian Murray,labour,3966,24872,Miscellaneous,8,Director of IM Campaigns Ltd (dormant). This is an unpaid role.
1593,,Ian Murray,labour,3966,24872,Miscellaneous,8,Trustee of McRaes Batallion Trust. This is an unpaid role.
1595,,Ian Murray,labour,3966,24872,Miscellaneous,8,Trustee of the Royal Observatory Trust. This is an unpaid role.
1598,,Dr Andrew Murrison,conservative,1466,11132,Miscellaneous,8,"A Trustee of the UK Reserve Forces Association, which is part of the MOD and promotes the efficiency of reserve forces by providing opportunities for education, personal development and international experiences. This is an unpaid role."
1603,,Caroline Nokes,conservative,4048,24809,Miscellaneous,8,A trustee of World Horse Welfare. This position is not remunerated.
1604,,Sir Bernard Jenkin,conservative,40,10312,Miscellaneous,8,"A Vice President of Combat Stress, a charity offering mental health services to veterans. This is an unpaid role."
1606,,Jesse Norman,conservative,3991,24827,Miscellaneous,8,Member of the Town Board for Hereford. This is an unpaid role.
1610,,Alex Norris,labourco-operative,4641,25687,Miscellaneous,8,Chair of Governors at Rosslyn Park Primary & Nursery School in Nottingham. This is an unpaid position.
1613,,Neil O'Brien,conservative,4679,25679,Miscellaneous,8,"A member of the advisory board of Onward, a think tank which aims to produce modernising ideas to address some of the biggest challenges facing the UK. This is an unpaid role."
1615,,Brendan O'Hara,scottish-national-party,4371,25370,Miscellaneous,8,A Director of the Westminster Foundation for Democracy. This is an unpaid role.
1618,,Dame Chi Onwurah,labour,4124,24807,Miscellaneous,8,Chartered engineer (non-practising).
1619,,Dame Chi Onwurah,labour,4124,24807,Miscellaneous,8,Honorary Vice President of ACTSA (Action for South Africa).
1620,,Dame Chi Onwurah,labour,4124,24807,Miscellaneous,8,Director of the Foundation for Science & Technology.
1621,,Dame Chi Onwurah,labour,4124,24807,Miscellaneous,8,"Member of the Board of the Hamilton Commission, a standalone piece of research in partnership with the Royal Academy of Engineering, that will work to improve the representation of black people in UK motorsport."
1622,,Dame Diana Johnson,labour,1533,11647,Miscellaneous,8,A Commissioner on the Commonwealth War Graves Commission (CWGC). This is a non-salaried position.
1624,,Kim Johnson,labour,4824,25803,Miscellaneous,8,"Voluntary Board Member of SQUASH, Liverpool, a community interest company based in the Liverpool Riverside constituency (a creative food enterprise to empower and enable social change). This is an unpaid role."
1627,,Ms Abena Oppong-Asare,labour,4820,25846,Miscellaneous,8,"A patron of Greenwich and Bexley Community Hospice, London. This is an unpaid role."
1628,,Kim Johnson,labour,4824,25803,Miscellaneous,8,Member of the Liverpool City Region Freeport Board. This is an unpaid role.
1629,,Kim Johnson,labour,4824,25803,Miscellaneous,8,"Trustee of the Royal Court Theatre, Liverpool. This is an unpaid role."
1630,,Kate Osborne,labour,4783,25794,Miscellaneous,8,Director of Kate Osborne Campaigns Ltd. This is an unpaid role.
1636,,Taiwo Owatemi,labour,4779,25915,Miscellaneous,8,Pharmacist registered with the General Pharmaceutical Council.
1641,,Darren Jones,labour,4621,25637,Miscellaneous,8,I am the director of the Henacre Charitable Fund (the “Henacre Trust”) launched on 8 March 2019. This is a named trust owned and operated by the Quartet Community Foundation on my behalf. The Henacre Trust will make charitable grants to young people from Bristol North West.
1646,,Lee Anderson,reform,4743,25894,Miscellaneous,8,Member of the Town Fund Board for Ashfield. This is an unpaid role.
1652,,Lee Anderson,reform,4743,25894,Miscellaneous,8,My Twitter profile is registered as an affiliated account by GB News. GB News pays £50 per month for a square affiliate badge on my Twitter page.
1665,,Saqib Bhatti,conservative,4818,25847,Miscellaneous,8,Board Member of the West Midlands Reserve Forces and Cadets Association.
1667,,Gerald Jones,labour,4501,25289,Miscellaneous,8,"A Trustee of a local charity, Phillipstown Residents and Community Association."
1673,,Victoria Atkins,conservative,4399,25424,Miscellaneous,8,"Barrister, currently not practising."
1675,,Bob Blackman,conservative,4005,24945,Miscellaneous,8,Director of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.
1687,,Victoria Atkins,conservative,4399,25424,Miscellaneous,8,"Member of the Connected Coast Board, a joint board for the Mablethorpe and Skegness Towns Fund. This is an unpaid role."
1688,,Andrew Bowie,conservative,4601,25703,Miscellaneous,8,Vice-Chairman of the Conservative Party.
1689,,Mike Kane,labour,4316,25220,Miscellaneous,8,"A non-Executive Director of The Oxford Group, whose programmes include initiatives to develop sustainable communities; making films about conflict resolution; working to bring trust and integrity into the business and financial sectors; helping young people to find a sense of vocation. This is an unpaid role."
1690,,Dame Karen Bradley,conservative,4110,24725,Miscellaneous,8,"Trustee (unpaid) of the Human Trafficking Foundation, a non-profit organisation which works to help victims of human trafficking and modern slavery. I consulted ACOBA about this role."
1692,,Alicia Kearns,conservative,4805,25906,Miscellaneous,8,"Board Member of the Great British-China Centre, a not-for-profit company limited by guarantee operating as an executive non-departmental public body, established by the Foreign, Commonwealth and Development Office to support UK-China relations."
1694,,Dame Karen Bradley,conservative,4110,24725,Miscellaneous,8,"Member (unpaid) of the panel for the Community Foundation for Staffordshire’s We Love the Moorlands programme, which offers funding support to assist grassroots community and voluntary organisations that are based across the Moorlands area."
1695,,Dame Karen Bradley,conservative,4110,24725,Miscellaneous,8,Chair of the new Restoring Your Railway Leek – Stoke Board and Steering Committee. This is an unpaid role and meetings are monthly.
1696,,Dame Karen Bradley,conservative,4110,24725,Miscellaneous,8,"A Trustee of the Arise Foundation, a charity which seeks to confront modern slavery and human trafficking through frontline organisations. This is an unpaid role."
1697,,Dame Karen Bradley,conservative,4110,24725,Miscellaneous,8,A member of the UK Shared Prosperity Fund Board to assist Staffordshire Moorlands District Council in the Governance of the new funding programme. This is an unpaid role.
1698,,Dame Karen Bradley,conservative,4110,24725,Miscellaneous,8,Co-chair of the British Irish Parliamentary Assembly. This is an unpaid role.
1723,,Chris Bryant,labour,1446,10761,Miscellaneous,8,"A trustee of the Mabon Trust, which offers small grants to community projects, organisations, individuals and charities in the Rhondda. This is an unpaid role."
1729,,Richard Burgon,labour,4493,25391,Miscellaneous,8,Non-practising solicitor.
1730,,Richard Burgon,labour,4493,25391,Miscellaneous,8,"Unpaid Director of Richard Burgon Campaigns Ltd, a company established for my campaign to be Labour’s Deputy Leader and which continues to help deliver my campaigns work."
1731,,Richard Burgon,labour,4493,25391,Miscellaneous,8,"Unpaid Chair of the Brazil Solidarity Initiative, a network established to campaign for human rights in Brazil."
1732,,Dawn Butler,labour,1489,11447,Miscellaneous,8,Trustee of the National Youth Theatre of Great Britain. This is an unpaid role.
1733,,Ian Byrne,labour,4831,25816,Miscellaneous,8,"Member of the management committee, Spirit of Shankly, which promotes the interests of football supporters."
1734,,Dame Harriett Baldwin,conservative,4107,24785,Miscellaneous,8,A Member of the Executive Committee of the British Group of the Inter-Parliamentary Union. This is an unpaid role.
1744,,Dan Carden,labour,4651,25642,Miscellaneous,8,"Member of the Commission on Alcohol Harm, established by the Alcohol Harm Alliance (a consortium of over 50 non-governmental organisations) to promote evidence based policies to reduce the harm caused by alcohol."
1746,,Dan Carden,labour,4651,25642,Miscellaneous,8,"Unpaid director of Addiction Recovery Now Ltd, a company limited by guarantee. The company researches addiction issues and seeks to promote visible recovery in society."
1747,,Mr Alistair Carmichael,liberal-democrat,1442,10785,Miscellaneous,8,Unremunerated Director of the Council for Arab-British Understanding.
1748,,Mr Alistair Carmichael,liberal-democrat,1442,10785,Miscellaneous,8,An unpaid partner in Coillabus Farms.
1761,,Apsana Begum,labour,4790,25914,Miscellaneous,8,Unpaid Director of Apsana Begum Ltd.
1768,,Scott Benton,unknown,4793,25800,Miscellaneous,8,Member of Blackpool Town Funds Board. This is an unpaid role.
1781,,Mr Clive Betts,labour,394,10045,Miscellaneous,8,"A Trustee of Fields in Trust (FiT), a charity which champions and supports our parks and green spaces. This is an unpaid role."
1800,,Stephen Kinnock,labour,4359,25297,Miscellaneous,8,"Bryn and Cwmavon Events, a charity set up to develop the needs of the community, supported by the local authority and partners to create a stronger, independent community."
1804,,Danny Kruger,reform,4858,25913,Miscellaneous,8,"Trustee of Only Connect, a charity that works with men and women in prison or recently released, with the aim of helping them live crime-free lives."
1808,,Danny Kruger,reform,4858,25913,Miscellaneous,8,"Unpaid Director of the New Social Covenant Unit Ltd, a company which supports social policy research."
1811,,Mr David Lammy,labour,206,10678,Miscellaneous,8,Barrister (non-practising).
1826,,John Lamont,conservative,4608,14026,Miscellaneous,8,Solicitor (non-practising).
1829,,John Lamont,conservative,4608,14026,Miscellaneous,8,I am a member of the Law Society of England and Wales.
1830,,John Lamont,conservative,4608,14026,Miscellaneous,8,I am a trustee of the St Abbs Lifeboat Trust.
1831,,Andrew Griffith,conservative,4874,25927,Miscellaneous,8,"In recognition of my previous 20 years' service, Sky Subscriber Services Ltd has provided me with an open-ended subscription to Sky television and telecommunication packages. Annual value for 2022-2023, approx. £500."
1832,,John Lamont,conservative,4608,14026,Miscellaneous,8,I am a member of the Rail Action Group East of Scotland (RAGES).
1835,,Andrew Griffith,conservative,4874,25927,Miscellaneous,8,"Member of Wilton Park Advisory Council, a not-for-profit executive agency of the Foreign and Commonwealth Office which organises events that bring together leading representatives from politics, diplomacy, academia, business, civil society, the military and the media. This is an unpaid role."
1837,,Andrew Gwynne,unknown,1506,11531,Miscellaneous,8,"An unpaid Director of the Great Britain China Centre, a non-departmental public body established to support UK-China relations."
1838,,Andrew Gwynne,unknown,1506,11531,Miscellaneous,8,"Parliamentary Adviser to Friends of the British Overseas Territories, a charity that raises raise awareness of the British Overseas Territories amongst parliamentarians. This is an unpaid role."
1842,,Chris Law,scottish-national-party,4403,25270,Miscellaneous,8,"Unpaid director of CMAL Ltd, financial services company."
1844,,Sir Edward Leigh,conservative,345,10352,Miscellaneous,8,"Barrister, not currently practising."
1849,,Paulette Hamilton,labour,4938,26061,Miscellaneous,8,"Registered Nurse at the Bank Universities Hospitals, Birmingham."
1850,,Paulette Hamilton,labour,4938,26061,Miscellaneous,8,Vice President of the Local Government Association (LGA). This is an unpaid role.
1855,,Emma Lewell,labour,4277,25181,Miscellaneous,8,Honorary member of the Catholic Union.
1856,,Emma Lewell,labour,4277,25181,Miscellaneous,8,A patron of the Every Child Leaving Care Matters organisation.
1857,,Emma Lewell,labour,4277,25181,Miscellaneous,8,A patron of the Social Care Worker of the Year Awards.
1859,,Emma Lewell,labour,4277,25181,Miscellaneous,8,Deputy Convenor of the Catholic Legislators Network.
1864,,Carolyn Harris,labour,4480,25308,Miscellaneous,8,Vice President of the Chartered Trading Standards Institute.
1866,,Carolyn Harris,labour,4480,25308,Miscellaneous,8,"Equality, Diversity and Inclusion Trustee for Swansea City AFC Foundation. This is an unpaid role."
1867,,Rebecca Harris,conservative,3948,24731,Miscellaneous,8,Trustee of Datchet Women’s Institute (this is an unpaid role).
1868,,Clive Lewis,labour,4500,25356,Miscellaneous,8,"Unpaid Director of Toussaint Ventures Ltd, which provides support for my political campaigning and activities."
1872,,Carla Lockhart,dup,4857,25562,Miscellaneous,8,"Governor of Dickson Primary School, Lurgan, Magheralin Primary School and Lurgan Junior High School."
1876,,Helen Hayes,labour,4510,25310,Miscellaneous,8,Vice President of the Local Government Association. This is an unpaid role.
1878,,John Healey,labour,400,10268,Miscellaneous,8,Chair of Rotherham 9th Scouts Group. This is an unpaid role.
1881,,John Healey,labour,400,10268,Miscellaneous,8,Member of Goldthorpe Towns Fund Board. This is an unpaid role.
1892,,Wera Hobhouse,liberal-democrat,4602,25648,Miscellaneous,8,"Patron, Bath Festivals."
1898,,Chris Elmore,labour,4572,25490,Miscellaneous,8,Minor interest in a house in Caerphilly County Borough area owned by two members of my family.
1899,,Chris Elmore,labour,4572,25490,Miscellaneous,8,Unpaid member of the Barry YMCA Board of Management.
1900,,Chris Elmore,labour,4572,25490,Miscellaneous,8,A Trustee and Director of the Commonwealth Parliamentary Association (UK Branch).  This is an unpaid role.
1904,,Chris Evans,labourco-operative,4040,24721,Miscellaneous,8,Administrative Steward and Director (unpaid) of the British Boxing Board of Control. From time to time I attend contests where I undertake my voluntary duties as Steward.
1909,,Tim Farron,liberal-democrat,1591,11923,Miscellaneous,8,"Advisory Board Member of BOMAD Investments Ltd (trading as HomeNow), an affordable housing scheme. This is an unpaid role."
1916,,Justin Madders,labour,4418,25378,Miscellaneous,8,"Trustee of Ellesmere Port and Neston Helping Hands, a charity which aims to provide poverty relief and support to residents in my constituency. This is an unpaid role."
1917,,Alan Mak,conservative,4484,25285,Miscellaneous,8,"Solicitor, England and Wales (non-practising)."
1919,,Alan Mak,conservative,4484,25285,Miscellaneous,8,"Ambassador for The Blossom Awards (non-profit initiative for the British-Chinese community, administered by my partner’s company). This is an unpaid role."
1921,,Alan Mak,conservative,4484,25285,Miscellaneous,8,"Bursary Campaign Ambassador for St. Peter’s School, York (registered charity). This is an unpaid role."
1925,,Seema Malhotra,labourco-operative,4253,25150,Miscellaneous,8,"Chair of Hounslow’s Promise, a charity set up by local MPs, schools, businesses and community organisations to support the education attainment, social mobility and employability of young people in Hounslow."
1926,,Richard Foord,liberal-democrat,4942,26086,Miscellaneous,8,"A member of the Advisory Council for the Council on Geostrategy, an independent non-profit organisation that generates new geostrategic thinking for a more competitive age. This is an unpaid role."
1927,,Seema Malhotra,labourco-operative,4253,25150,Miscellaneous,8,"A trustee of the Dartmouth Street Trust, a grant-making body for policy research in relation to poverty."
1942,,George Freeman,conservative,4020,24817,Miscellaneous,8,"In my capacity as a Norfolk MP, I am a trustee for Aviornis UK – a Rare Birds Breeds Charity. This is an unpaid role."
1943,,Mr Louie French,conservative,4932,26055,Miscellaneous,8,Shareholding below registrable threshold in Tilney Smith & Williamson (wealth management).
1945,,Richard Fuller,conservative,3912,24787,Miscellaneous,8,"I have an option to purchase a minority stake in Impero Solutions Ltd, a software company."
1947,,Barry Gardiner,labour,146,10220,Miscellaneous,8,"Unremunerated director of GLOBE International AISBL, an international non-profit network devoted to legislative leadership on sustainable development and climate change."
1948,,Barry Gardiner,labour,146,10220,Miscellaneous,8,"Trustee of Climate Parliament, which aims to educate and inform legislators about climate change and policy options for promoting renewable energy. This is an unpaid role."
1951,,Barry Gardiner,labour,146,10220,Miscellaneous,8,"A Member and Director of Stop Fire and Rehire Ltd, a company limited by guarantee set up to manage financial support for my Private Members Bill campaign. The company is a not for profit company and the position is entirely unpaid."
1955,,Barry Gardiner,labour,146,10220,Miscellaneous,8,"A Member and Director of Together 2030, a company limited by guarantee. The company is a not for profit company and the position is entirely unpaid."
1957,,Mark Garnier,conservative,4074,24824,Miscellaneous,8,Member of the Court of the Worshipful Company of Coachmakers and Coach Harness Makers of London.
1960,,Mark Garnier,conservative,4074,24824,Miscellaneous,8,"Director of the Satellite Finance Network, a company limited by guarantee providing support and advice for space sector start-up companies. This is an unpaid role, requiring one day per month commitment."
1963,,Mark Garnier,conservative,4074,24824,Miscellaneous,8,"Chair of the advisory board of the Space Energy Initiative, a non-profit organisation set up within the Satellite Applications Catapult to support those exploring the possibility of space based solar power. This is an unpaid role and involves chairing four meetings a year."
1966,,Mark Garnier,conservative,4074,24824,Miscellaneous,8,A Non-executive Director of Space Solar Group Holdings Ltd. A UK company established to lead the development of space based solar power. This is an unpaid role.
1967,,Rachel Hopkins,labour,4873,25809,Miscellaneous,8,"Unpaid Vice President of the LGA, which works with councils to support, promote and improve local government."
1971,,Dr Neil Hudson,conservative,4853,25875,Miscellaneous,8,On unpaid sabbatical leave as a senior lecturer from the University of Edinburgh from 1 January 2020.
1974,,Dr Neil Hudson,conservative,4853,25875,Miscellaneous,8,Fellow of the Royal College of Veterinary Surgeons.
1976,,Dr Neil Hudson,conservative,4853,25875,Miscellaneous,8,Member of the British Equine Veterinary Association.
1987,,Sir Jeremy Hunt,conservative,1572,11859,Miscellaneous,8,Portfolio of shares held in a blind trust.
1991,,Liz Saville Roberts,plaid-cymru,4521,25302,Miscellaneous,8,Governor and Director of Westminster Foundation for Democracy Limited (WFD). This is an unpaid role.
1993,,Imran Hussain,labour,4394,25375,Miscellaneous,8,"Barrister, not currently practising."
2006,,Christine Jardine,liberal-democrat,4634,25675,Miscellaneous,8,"Sole Trader, Christine Jardine Communications (inactive), media consultancy."
2007,,Liz Saville Roberts,plaid-cymru,4521,25302,Miscellaneous,8,A Trustee of Ymddiriedolaeth Capel Newydd Nanhoron. This is an unpaid role.
2014,,Preet Kaur Gill,labourco-operative,4603,25666,Miscellaneous,8,An ambassador for Spring Housing Association.
2019,,Preet Kaur Gill,labourco-operative,4603,25666,Miscellaneous,8,"Unpaid Vice President of the Local Government Association (LGA), which works with councils to support, promote and improve local government."
2021,,Preet Kaur Gill,labourco-operative,4603,25666,Miscellaneous,8,"An ambassador for the West Bromwich Albion Foundation, which is the charity of West Bromwich Albion Football Club, designed to connect with and support local communities."
2023,,Preet Kaur Gill,labourco-operative,4603,25666,Miscellaneous,8,"Vice-President of West Midlands Labour Finance and Industry Group (WM LFIG), which exists to facilitate constructive dialogue between the Government and prominent persons from industry, finance and the professions within the West Midlands."
2026,,Preet Kaur Gill,labourco-operative,4603,25666,Miscellaneous,8,An ambassador for the Greater Birmingham Chambers of Commerce. This is an unpaid role.
2055,,David Simmonds,conservative,4872,25892,Miscellaneous,8,An unpaid Vice-President of the Local Government Association (LGA).
2060,,Chris Skidmore,unknown,4021,24713,Miscellaneous,8,"Sole director of Bosworth Ltd. At present, this is an unpaid role."
2061,,Andy Slaughter,labour,1516,11559,Miscellaneous,8,Barrister (not practising)
