id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,visit_locations__country_1,visit_locations__destination_1,purpose,start_date,end_date,appg,donors__name_1,donors__is_private_individual_1,donors__public_address_1,donors__payment_type_1,donors__payment_description_1,donors__value_1,donors__is_sole_beneficiary_1,link,visit_locations__country_2,visit_locations__destination_2,donors__name_2,donors__is_private_individual_2,donors__public_address_2,donors__payment_type_2,donors__payment_description_2,donors__value_2,donors__is_sole_beneficiary_2,donors__name_3,donors__is_private_individual_3,donors__public_address_3,donors__payment_type_3,donors__payment_description_3,donors__value_3,donors__is_sole_beneficiary_3,donors__name_4,donors__is_private_individual_4,donors__public_address_4,donors__payment_type_4,donors__payment_description_4,donors__value_4,donors__is_sole_beneficiary_4,donors__name_5,donors__is_private_individual_5,donors__public_address_5,donors__payment_type_5,donors__payment_description_5,donors__value_5,donors__is_sole_beneficiary_5,visit_locations__country_3,visit_locations__destination_3,category_code
14346,International visit to Israel between 04 January 2026 and 08 January 2026,,2026-01-18,2026-01-19,,Visits outside the UK,5355,26635,conservative,Sarah Bool,Israel,,Fact finding political delegation: Israel and the Palestinian Authority,,,,Conservative Friends of Israel Limited (Company No. 08114952),0,"PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality (value has been estimated)",3200,1,https://interests-api.parliament.uk/api/v1/Interests/14346,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14348,International visit to Qatar between 05 December 2025 and 08 December 2025,,2026-01-19,2026-01-19,,Visits outside the UK,5278,26542,labour,Uma Kumaran,Qatar,Doha,"To participate in the Doha Forum 2025 on regional diplomacy and dialogue. Included meetings with Qatari ministers, ministers from other countries and key multilateral partners to discuss efforts to resolve regional conflicts. This visit is relevant to my role as a member of the Foreign Affairs Select Committee.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha, Qatar",In kind,"Accommodation and F&B: £403.32
Flight: £5564.43",5967.75,1,https://interests-api.parliament.uk/api/v1/Interests/14348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14354,International visit to Australia between 19 December 2025 and 05 January 2026,,2026-01-19,2026-01-19,,Visits outside the UK,4804,25920,conservative,Mr Gagan Mohindra,Australia,Melbourne and Sydney,"Building inter-Parliamentary relations with Australian MPs and Senators, competing for the Parliamentary Ashes and supporting English cricket. I was accompanied on this visit by my wife.",,,,Horatius Advisory Limited,0,"53 Davies Street, London W1K 5JH",Monetary,"Contribution to travel, accommodation and associated costs of the Lords and Commons Cricket team.",2750,0,https://interests-api.parliament.uk/api/v1/Interests/14354,,,Deltroit Asset Management (UK) LLP,0,"50, Pall Mall, London. SW1Y 5JH",Monetary,"Contribution to travel, accommodation and associated costs of the Lords and Commons Cricket team visit to Australia",2750,0,,,,,,,,,,,,,,,,,,,,,,,,4
14339,International visit to Israel between 04 January 2026 and 09 January 2026,,2026-01-15,2026-01-16,,Visits outside the UK,4798,25750,conservative,Gareth Bacon,Israel,Israel and the Palestinian Authority,Fact finding political delegation,,,,Conservative Friends of Israel Ltd,0,"PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality",3200,1,https://interests-api.parliament.uk/api/v1/Interests/14339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14332,International visit to Gibraltar between 15 December 2025 and 16 December 2025,,2026-01-14,2026-01-14,,Visits outside the UK,4358,25342,conservative,Wendy Morton,Gibraltar,,"To visit the Gibraltar Government in my capacity as the Shadow Foreign, Commonwealth & Development Minister.",,,,HM Government Gibraltar,0,"No 6 Convent Place, Gibraltar GX111AA",In kind,"Flights: (£260.00), hotel  (£180.00)",440,0,https://interests-api.parliament.uk/api/v1/Interests/14332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14295,International visit to Thailand between 30 November 2025 and 06 December 2025,,2026-01-08,2026-01-09,,Visits outside the UK,4371,25370,scottish-national-party,Brendan O'Hara,Thailand,,"The purpose of the trip was ascertain the progress for refugees, including a lack of recognised refugee status, limited access to adequate healthcare and education, and restrictions on free religious worship.",,,APPG Freedom of Religion or Belief,International Human Rights Committee,0,"Suite 23, 95 Miles Road, Mitcham, CR4 3FH",In kind,"Flights (£885), hotels including breakfast in Thailand (£99), hotels including breakfast in Malaysia (£390)",1374,1,https://interests-api.parliament.uk/api/v1/Interests/14295,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14293,International visit to South Korea between 13 December 2025 and 17 December 2025,,2026-01-08,2026-01-08,,Visits outside the UK,4124,24807,labour,Dame Chi Onwurah,South Korea,Seoul,"ROK-UK Forum in capacity as Chair of the Science, Innovation and Technology Committee",,,,Wilton Park,0,"Wilton Park, 
Wiston House
Steyning, 
West Sussex 
BN44 3DZ",In kind,"Flights (£3971.21)- Chi Onwurah only
Hotel accommodation and hospitality (£520)-Chi Onwurah and partner",4491.21,0,https://interests-api.parliament.uk/api/v1/Interests/14293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14172,International visit to Turkey between 15 December 2025 and 19 December 2025,,2026-01-02,2026-01-05,,Visits outside the UK,4671,25662,labour,Afzal Khan,Turkey,Konya,To attend a conference at the invitation of the Mayor of Konya.,,,,Uğur Ibrahim Altay Mayor of Konya Metropolitan Municipality​​,0,"Konya Büyükşehir Belediyesi, Ayanbey, Konya Eğitim ve Araştırma Hst. Acil Servisi, 42090 Meram/Konya, Turkiye",In kind,"Flights (£865.35), accommodation (£280.56), subsistence (£70) and internal travel (£30)",1245.91,1,https://interests-api.parliament.uk/api/v1/Interests/14172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14150,International visit to United States between 30 November 2025 and 05 December 2025,,2026-01-03,2026-01-05,,Visits outside the UK,5275,26503,labour,Graeme Downie,United States,Washington DC,"Cross-party delegation to strengthen transatlantic relations and to discuss UK-US foreign policy priorities, challenges and opportunities with members of Congress and policymakers",,,,Coalition for Global Prosperity,0,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights (£1,968.73), accommodation (£1,056.86), local transport (£519.47) and food/miscellaneous (£531.56)",4076.62,0,https://interests-api.parliament.uk/api/v1/Interests/14150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14264,International visit to United States between 11 December 2025 and 17 December 2025,,2026-01-05,2026-01-05,,Visits outside the UK,4623,25634,labour,Tonia Antoniazzi,United States,Boston,Visit relating to my role as Chair of Northern Ireland Affairs Committee,,,,Boston College,0,"140 Commonwealth Avenue, Chesnut Hill, MA 02467",In kind,"Flights, accommodation and meals",1723.06,1,https://interests-api.parliament.uk/api/v1/Interests/14264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14044,International visit to United Arab Emirates between 05 November 2025 and 12 November 2025,,2025-12-02,2026-01-05,,Visits outside the UK,4020,24817,conservative,George Freeman,United Arab Emirates,,Global Networking Event,,,,Abdulla Hassan,0,"Dhow Capital
P.O.BOX: 21946 Safat 13080 Kuwait",In kind,"Dubai–Kuwait–Dubai flights (£270), Dubai hotel accommodation (£307) and Kuwait hotel accommodation (£294)",871,1,https://interests-api.parliament.uk/api/v1/Interests/14044,Kuwait,,Pioneer Group,0,"St Christopher’s House, 27 St Christopher’s Place, London
W1U 1NZ",In kind,"Rosewood Hotel, Abu Dhabi",503.98,1,,,,,,,,,,,,,,,,,,,,,,,,4
14226,International visit to United States between 02 December 2025 and 06 December 2025,,2026-01-05,2026-01-05,,Visits outside the UK,4066,24778,conservative,Priti Patel,United States,Washington DC,"To attend the IDU Forum in my capacity as Shadow Secretary of State for Foreign, Commonwealth and Development Affairs and as an Executive Vice Chairman of the IDU.",,,,International Democracy Union,0,"International Democracy Union IDU
Franz Josef Strauß Haus
Mies-van-der-Rohe-Str. 1
80807 Munich
Germany",In kind,"Discount on costs provided to the Conservative and Unionist Party for me and a member of Party staff
accommodation (£220), two tickets provided to attend the IDU Forum were (approx £150) and two tickets for a dinner (approx £75), value £445",445,0,https://interests-api.parliament.uk/api/v1/Interests/14226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14129,International visit to Qatar between 04 December 2025 and 08 December 2025,,2026-01-02,2026-01-02,,Visits outside the UK,4805,25906,conservative,Alicia Kearns,Qatar,,"To attend the Doha Forum 2025, primarily focused on arbitrary detention and bilaterals with Ministers from other countries.",,,,Doha Forum / Ministry of Foreign Affairs of the State of Qatar,0,"Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights for me and my child (£6,077.14)
Accommodation, food and beverages (£403.16)
Forum entry: Free of charge (My family attended to care for our six-month old baby while I attended the Forum.)",6480.3,0,https://interests-api.parliament.uk/api/v1/Interests/14129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14240,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-30,2025-12-31,,Visits outside the UK,4676,25620,labour,Marsha De Cordova,Qatar,Doha,To attend the Doha Forum,,,,Doha Forum,0,"Al Mirqab Tower, West Bay, Doha, State of Qatar",In kind,"Flights (£6,292.00) and accommodation (£399) Inclusive of meals",6691,1,https://interests-api.parliament.uk/api/v1/Interests/14240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14238,International visit to Qatar between 04 December 2025 and 09 December 2025,,2025-12-30,2025-12-30,,Visits outside the UK,4651,25642,labour,Dan Carden,Qatar,Doha,To attend the Doha Forum and participate in meetings with senior Qatari government representatives and others.,,,,Doha Forum,0,"Ministry of Foreign Affairs 
Almirqab Tower
West Bay
Doha
Qatar",In kind,"Flights, accommodation and food £5957",5957,1,https://interests-api.parliament.uk/api/v1/Interests/14238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14236,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-29,2025-12-29,,Visits outside the UK,5120,26364,independent,Shockat Adam,Qatar,Doha,Participation in Doha Forum,,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£5019), accommodation (estimate £677) and food (estimate £147)",5843,1,https://interests-api.parliament.uk/api/v1/Interests/14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14231,International visit to United Arab Emirates between 06 December 2025 and 11 December 2025,,2025-12-29,2025-12-29,,Visits outside the UK,4441,25323,conservative,Sir Oliver Dowden,United Arab Emirates,Abu Dhabi,Speaker at BRIDGE Summit 2025,,,,BRIDGE,0,"Office 2902, Unit D30, Floor 29, Sky Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi, United Arab Emirates",In kind,"Return flights (approx £6,100), Accommodation (approx £10,200), Transfers and local transport (approx £200), Hospitality and access to the Formula 1 Grand Prix (approx £4,100), Gift box (£250)",20850,1,https://interests-api.parliament.uk/api/v1/Interests/14231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14215,International visit to Qatar between 05 December 2025 and 09 December 2025,,2025-12-27,2025-12-27,,Visits outside the UK,5268,26620,independent,Iqbal Mohamed,Qatar,Doha,"To attend the annual Doha Forum 2025, to participate at the Doha Forum 2025 on Diplomacy, Dialogue and Diversity, including meetings with fellow cross-party Parliamentarians, political representatives of other countries and Qatari Ministers to discuss Qatar’s role in seeking to resolve current regional conflicts.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (LHR to Doha), accommodation (4 nights) and food",6300,1,https://interests-api.parliament.uk/api/v1/Interests/14215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14214,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-23,2025-12-23,,Visits outside the UK,5170,26426,labour,John Grady,Qatar,Doha,"To attend the annual Doha Forum 2025, to participate at the 
Doha Forum 2025 on Diplomacy, Dialogue and Diversity, including meetings with 
fellow cross-party Parliamentarians, political representatives of other countries 
and Qatari Ministers to discuss Qatar’s role in seeking to resolve current regional 
conflicts and Qatar's role as a diplomatic and trading partner of the UK.",,,,"Ministry of Foreign Affairs, Qatar",0,"Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights, accommodation and food",7000,1,https://interests-api.parliament.uk/api/v1/Interests/14214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14196,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-19,2025-12-22,,Visits outside the UK,5240,26610,labour,Melanie Ward,Qatar,,"To participate in the Doha Forum 2025 on diplomacy, dialogue and diversity, including meetings with fellow cross-party parliamentarians, political representations of other countries and Qatari ministers to discuss Qatar’s role in seeking to resolve current regional conflicts.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights (£5,555), accommodation and meals (£402)",5957,1,https://interests-api.parliament.uk/api/v1/Interests/14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
11727,International visit to China between 05 January 2025 and 10 January 2025,,2025-12-22,2025-12-22,,Visits outside the UK,4074,24824,conservative,Mark Garnier,China,Beijing,To discuss AI governance and wider Sino UK relations,,,,Great Britain China Centre,0,"16 Smith Square
London SW1P 3HQ",In kind,Flights and hotel accommodation,3925,1,https://interests-api.parliament.uk/api/v1/Interests/11727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
12564,International visit to Qatar between 19 May 2025 and 23 May 2025,,2025-12-22,2025-12-22,,Visits outside the UK,4074,24824,conservative,Mark Garnier,Qatar,Doha,To Attend the Boomberg Qatar Economic Forum 2025 and to meet with ministers and associated organisations to discuss Qatar's leading role in peace negotiations and humanitarian issues.,,,,"Ministry of Foreign Affairs of the State of Qatar,",0,"Embassy of the State of Qatar, 1 South Audley Street, London W1U 4FB",In kind,"Flights and accommodation, to visit the State of Qatar",5700,1,https://interests-api.parliament.uk/api/v1/Interests/12564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14197,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-19,2025-12-22,,Visits outside the UK,4870,25759,labourco-operative,Florence Eshalomi,Qatar,Doha,"To participate in the annual Doha Forum 2025 on diplomacy, dialogue and diversity, including meetings with fellow cross-party parliamentarians, political representatives of other countries and Qatari ministers to discuss Qatar's role in seeking to resolve current regional conflicts.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£5555.00), accommodation and food (£402.00)",5957,1,https://interests-api.parliament.uk/api/v1/Interests/14197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14207,International visit to United Arab Emirates between 06 December 2025 and 08 December 2025,,2025-12-22,2025-12-22,2026-01-09,Visits outside the UK,5091,26352,reform,Nigel Farage,United Arab Emirates,,To attend the F1 and for meetings,,,,Government of Abu Dhabi,0,"1-2 Grosvenor Crescent, London, SW1X 7EE",In kind,Accommodation (£500) me and a non-staff member,1000,0,https://interests-api.parliament.uk/api/v1/Interests/14207,,,Abu Dhabi Formula 1,0,"PO Box 664 
Abu Dhabi",In kind,"Paddock passes (approx. £4,500) for me and a non-staff member",9000,0,,,,,,,,,,,,,,,,,,,,,,,,4
14204,International visit to Qatar between 05 December 2025 and 07 December 2025,,2025-12-22,2025-12-22,,Visits outside the UK,1211,11115,conservative,Sir Andrew Mitchell,Qatar,Doha,"To participate in the Doha Forum 2025 on diplomacy, dialogue and diversity, including meetings with fellow cross-party parliamentarians, political representations of other countries and Qatari ministers to discuss Qatar's role in seeking to resolve current regional conflicts.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£5555), accommodation and hospitality (£402)",5957,1,https://interests-api.parliament.uk/api/v1/Interests/14204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14200,International visit to South Africa between 10 December 2025 and 15 December 2025,,2025-12-21,2025-12-22,,Visits outside the UK,4786,25909,your-party,Zarah Sultana,South Africa,Johannesburg,"Costs associated with being a guest speaker at the Think Socialism festival, in Johannesburg.",,,,Alternative Information and Development Centre (AIDC),0,"129 Rochester Road, Observatory, Cape Town, 7925, South Africa",In kind,"Travel (£916.92), accommodation for three nights (£75) and catering (£25)",1016.92,1,https://interests-api.parliament.uk/api/v1/Interests/14200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14199,International visit to Hong Kong between 05 December 2025 and 12 December 2025,,2025-12-21,2025-12-21,,Visits outside the UK,4020,24817,conservative,George Freeman,Hong Kong,,Speaking at the Oxford Global CEO Programme 2025 in Hong Kong and Singapore. ( A speakers fee of £5000 has been registered under Category 1.),,,,Oxford Institute of Digital Health,0,"Radcliffe Primary Care Building, Radcliffe Observatory Quarter, Woodstock Road, Oxford OX2 6GG.",In kind,"Flights (£4683.82), accommodation and meals (£4300)",8983.82,1,https://interests-api.parliament.uk/api/v1/Interests/14199,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14182,International visit to Israel between 21 November 2025 and 25 November 2025,,2025-12-19,2025-12-19,,Visits outside the UK,4066,24778,conservative,Priti Patel,Israel,,"A visit in my capacity as Shadow Secretary of State for Foreign, Commonwealth and Development Affairs to meet with politicians, diplomats and the families of Israeli hostages, and to receive briefings on the security situation.",,,,Conservative Friends of Israel Ltd,0,"CFI, PO Box 72288, London SW1P 9LB",In kind,"Accommodation (£460), transport and tour guide (£1,130), total value £1,590. I was accompanied by two staff members: Flights (£947), accommodation (£290), transport and tour guide (£1,130), total value £2,367 each",6324,0,https://interests-api.parliament.uk/api/v1/Interests/14182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14179,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-18,2025-12-19,,Visits outside the UK,4138,24958,labour,Rushanara Ali,Qatar,Doha,"To participate in the Doha Forum 2025 on diplomacy, dialogue and diversity, including meetings with fellow cross-party parliamentarians, political representations of other countries and Qatari ministers to discuss Qatar’s role in seeking to resolve current regional conflicts.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£5,655), accommodation and hospitality (£405)",6060,1,https://interests-api.parliament.uk/api/v1/Interests/14179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14191,International visit to Brazil between 02 November 2025 and 07 November 2025,,2025-12-19,2025-12-19,,Visits outside the UK,5353,26618,labour,Anna Gelderd,Brazil,Rio De Janeiro,Climate change conferences in Rio De Janeiro in preparation for COP 30.,,,,Climate Parliament,0,"167-169 Great Portland Street, 5th Floor, London W1W 5PF",In kind,"Travel, including flights (£2445.11), accommodation (£1470.27) and sundry costs (£209.82)",4125.2,1,https://interests-api.parliament.uk/api/v1/Interests/14191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14193,International visit to Qatar between 05 December 2025 and 14 December 2025,,2025-12-19,2025-12-19,,Visits outside the UK,4409,25385,labour,Naz Shah,Qatar,,Attending the Doha Forum,,,,Doha Forum/Ministry of Foreign Affairs of the State of Qatar,0,"Al Mirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£8468.50), accommdation, hospitality and meals (£402)",8870.5,1,https://interests-api.parliament.uk/api/v1/Interests/14193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14184,International visit to Qatar between 05 December 2025 and 09 December 2025,,2025-12-19,2025-12-19,,Visits outside the UK,4511,25284,labour,Dr Rupa Huq,Qatar,,To participate in the Doha Forum 2025 with a focus on constructive engagement and strengthening international cooperation to deliver actionable policies and impactful recommendations on a global scale alongside international counterparts.,,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£2014.08), accommodation food and beverages (£537.36)",2551.44,1,https://interests-api.parliament.uk/api/v1/Interests/14184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14176,International visit to Brazil between 12 November 2025 and 15 November 2025,,2025-12-18,2025-12-18,,Visits outside the UK,5331,26615,labour,Rosie Wrighting,Brazil,"Belém, Pará, Brazil",Attendance of COP30 to meet legislators and experts and to build knowledge of the international climate process.,,,,Energy & Climate Intelligence Unit,0,"180 Borough High Street, London SE1 1LB",In kind,"Accommodation (£1,339.33), flight (£2,418.72) and maximum subsistence received (£411.53)",4169.58,0,https://interests-api.parliament.uk/api/v1/Interests/14176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14173,International visit to Qatar between 05 December 2025 and 08 December 2025,,2025-12-18,2025-12-18,,Visits outside the UK,39,10632,conservative,Sir John Whittingdale,Qatar,Doha,"To participate in the Doha Forum 2025 on diplomacy and dialogue including meetings with Qatari Ministers, and Ministers and Parliamentarians of other participating countries, in my capacity as a Member of the Foreign Affairs Committee.",,,,Doha Forum,0,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",In kind,"Flights (£5,555), accommodation and hospitality (£600)",6155,1,https://interests-api.parliament.uk/api/v1/Interests/14173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
